央视地方,#genre#
CCTV17,http://219.140.132.102:8887/rtp/239.69.1.152:10548
CCTV世界地理,http://119.98.233.151:85/rtp/239.69.1.91:10186
CCTV世界地理,http://119.98.92.242:4022/rtp/239.69.1.91:10186
CCTV世界地理,http://171.80.234.215:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://171.80.251.212:8888/rtp/239.69.1.91:10186
CCTV世界地理,http://219.140.132.102:8887/rtp/239.69.1.91:10186
CCTV兵器科技,http://119.98.233.151:85/rtp/239.69.1.79:10114
CCTV兵器科技,http://119.98.92.242:4022/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.80.234.215:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://171.80.251.212:8888/rtp/239.69.1.79:10114
CCTV兵器科技,http://219.140.132.102:8887/rtp/239.69.1.79:10114
CCTV央视台球,http://119.98.233.151:85/rtp/239.69.1.98:10224
CCTV央视台球,http://119.98.92.242:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://171.80.234.215:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://171.80.251.212:8888/rtp/239.69.1.98:10224
CCTV央视台球,http://219.140.132.102:8887/rtp/239.69.1.98:10224
CCTV第一剧场,http://119.98.233.151:85/rtp/239.69.1.74:10084
CCTV第一剧场,http://119.98.92.242:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.80.234.215:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://171.80.251.212:8888/rtp/239.69.1.74:10084
CCTV第一剧场,http://219.140.132.102:8887/rtp/239.69.1.74:10084
CCTV风云足球,http://119.98.233.151:85/rtp/239.69.1.81:10126
CCTV风云足球,http://119.98.92.242:4022/rtp/239.69.1.81:10126
CCTV风云足球,http://171.80.234.215:8888/rtp/239.69.1.81:10126
CCTV风云足球,http://171.80.251.212:8888/rtp/239.69.1.81:10126
CCTV风云足球,http://219.140.132.102:8887/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://119.98.233.151:85/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://119.98.92.242:4022/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://171.80.234.215:8888/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://171.80.251.212:8888/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://219.140.132.102:8887/rtp/239.69.1.83:10138
