央视地方,#genre#
连云港新闻综合,http://8.146.199.204:886/2024/migu.php?id=lygxwzh 
苏州新闻综合,http://8.146.199.204:886/2024/migu.php?id=szxwzh 
泰州新闻综合,http://8.146.199.204:886/2024/migu.php?id=tzxwzh 
宿迁新闻综合,http://8.146.199.204:886/2024/migu.php?id=sqxwzh 
徐州新闻综合,http://8.146.199.204:886/2024/migu.php?id=xzxwzh

广东影视,http://8.146.199.204:886/2024/migu.php?id=gdy
嘉佳卡通,http://8.146.199.204:886/2024/migu.php?id=jjkt 


24小时亚洲杯频道,http://8.146.199.204:886/2024/migu.php?id=24hyzb
CBA经典,http://8.146.199.204:886/2024/migu.php?id=cbajd
掼蛋精英赛,http://8.146.199.204:886/2024/migu.php?id=gdjys
高清大片,http://8.146.199.204:886/2024/migu.php?id=gqdp
和平精英赛事,http://8.146.199.204:886/2024/migu.php?id=hpjxss 
红色轮播台,http://8.146.199.204:886/2024/migu.php?id=hslbt
经典动画大集合,http://8.146.199.204:886/2024/migu.php?id=jddhdjh 
经典深圳旁边电影,http://8.146.199.204:886/2024/migu.php?id=jdxgdy
军事迷必看大片,http://8.146.199.204:886/2024/migu.php?id=jsdp
历届春晚回顾,http://8.146.199.204:886/2024/migu.php?id=ljcwhg
咪咕24小时体育台,http://8.146.199.204:886/2024/migu.php?id=mg24hty 
玫瑰轮播台,http://8.146.199.204:886/2024/migu.php?id=mglbt
NBA经典,http://8.146.199.204:886/2024/migu.php?id=nbajd
欧洲足球风云,http://8.146.199.204:886/2024/migu.php?id=ozzqfy
全民乒乓,http://8.146.199.204:886/2024/migu.php?id=qmpp 
热剧联播,http://8.146.199.204:886/2024/migu.php?id=rjlb
赛事最经典,http://8.146.199.204:886/2024/migu.php?id=sszjd
体坛名栏汇,http://8.146.199.204:886/2024/migu.php?id=ttmlh 
UFC格斗精选,http://8.146.199.204:886/2024/migu.php?id=ufcgdjx
五大联赛经典,http://8.146.199.204:886/2024/migu.php?id=wdlsjd
乡村振兴,http://8.146.199.204:886/2024/migu.php?id=xczx 
幸福中国年,http://8.146.199.204:886/2024/migu.php?id=xfzgn 
新片放映厅,http://8.146.199.204:886/2024/migu.php?id=xpfyt 
英雄联盟赛事,http://8.146.199.204:886/2024/migu.php?id=yxlmss 
周杰伦现场,http://8.146.199.204:886/2024/migu.php?id=zjlxc
最强综艺趴,http://8.146.199.204:886/2024/migu.php?id=zqzyp

熊猫0,http://8.146.199.204:886/2024/migu.php?id=xmpd 
熊猫1,http://8.146.199.204:886/2024/migu.php?id=xm1
熊猫2,http://8.146.199.204:886/2024/migu.php?id=xm2
熊猫3,http://8.146.199.204:886/2024/migu.php?id=xm3 
熊猫4,http://8.146.199.204:886/2024/migu.php?id=xm4
熊猫5,http://8.146.199.204:886/2024/migu.php?id=xm5 
熊猫6,http://8.146.199.204:886/2024/migu.php?id=xm6
熊猫7,http://8.146.199.204:886/2024/migu.php?id=xm7 
熊猫8,http://8.146.199.204:886/2024/migu.php?id=xm8 
熊猫9,http://8.146.199.204:886/2024/migu.php?id=xm9 
熊猫10,http://8.146.199.204:886/2024/migu.php?id=xm10

龙胜龙脊梯田,http://8.146.199.204:886/2024/migu.php?id=lsljtt 
大藤峡,http://8.146.199.204:886/2024/migu.php?id=dtx 
邕城,http://8.146.199.204:886/2024/migu.php?id=yc 
遇龙河,http://8.146.199.204:886/2024/migu.php?id=ylh
开封金明广场,http://8.146.199.204:886/2024/migu.php?id=kfjmgc 
开封清明上河园西门,http://8.146.199.204:886/2024/migu.php?id=kfqmshyxm 
开封连霍高速路口,http://8.146.199.204:886/2024/migu.php?id=kflhgsgl 
开封鼓楼,http://8.146.199.204:886/2024/migu.php?id=kfg 
武汉光谷,http://8.146.199.204:886/2024/migu.php?id=whgg 
武汉江汉关,http://8.146.199.204:886/2024/migu.php?id=whjhg 
武汉黄鹤楼,http://8.146.199.204:886/2024/migu.php?id=whhhl 
百视通,#genre#
CCTV1,http://8.146.199.204:886/2024/bestv.php?id=cctv1
CCTV2,http://8.146.199.204:886/2024/bestv.php?id=cctv2
CCTV3,http://8.146.199.204:886/2024/bestv.php?id=cctv3
CCTV4,http://8.146.199.204:886/2024/bestv.php?id=cctv4
CCTV5,http://8.146.199.204:886/2024/bestv.php?id=cctv5
CCTV6,http://8.146.199.204:886/2024/bestv.php?id=cctv6
CCTV7,http://8.146.199.204:886/2024/bestv.php?id=cctv7
CCTV8,http://8.146.199.204:886/2024/bestv.php?id=cctv8
CCTV9,http://8.146.199.204:886/2024/bestv.php?id=cctv9
CCTV10,http://8.146.199.204:886/2024/bestv.php?id=cctv10
CCTV11,http://8.146.199.204:886/2024/bestv.php?id=cctv11
CCTV12,http://8.146.199.204:886/2024/bestv.php?id=cctv12
CCTV13,http://8.146.199.204:886/2024/bestv.php?id=cctv13
CCTV14,http://8.146.199.204:886/2024/bestv.php?id=cctv14
CCTV15,http://8.146.199.204:886/2024/bestv.php?id=cctv15
CCTV16,http://8.146.199.204:886/2024/bestv.php?id=cctv16
CCTV16 4K,http://8.146.199.204:886/2024/bestv.php?id=cctv164k
CCTV17,http://8.146.199.204:886/2024/bestv.php?id=cctv17
CCTV5+,http://8.146.199.204:886/2024/bestv.php?id=cctv5p
CCTV5+,http://8.146.199.204:886/2024/bestv.php?id=cctv5p2
CCTV4K,http://8.146.199.204:886/2024/bestv.php?id=cctv4k
CGTN,http://8.146.199.204:886/2024/bestv.php?id=cgtn
中国教育1台,http://8.146.199.204:886/2024/bestv.php?id=zgjy1
中国教育2台,http://8.146.199.204:886/2024/bestv.php?id=zgjy2
中国教育4台,http://8.146.199.204:886/2024/bestv.php?id=zgjy4
广西卫视,http://8.146.199.204:886/2024/bestv.php?id=gxws
广东卫视,http://8.146.199.204:886/2024/bestv.php?id=gdws
深圳卫视,http://8.146.199.204:886/2024/bestv.php?id=szws
海南卫视,http://8.146.199.204:886/2024/bestv.php?id=hainan
三沙卫视,http://8.146.199.204:886/2024/bestv.php?id=ssws
云南卫视,http://8.146.199.204:886/2024/bestv.php?id=ynws
贵州卫视,http://8.146.199.204:886/2024/bestv.php?id=gzws
东南卫视,http://8.146.199.204:886/2024/bestv.php?id=dnws
厦门卫视,http://8.146.199.204:886/2024/bestv.php?id=xmws
江西卫视,http://8.146.199.204:886/2024/bestv.php?id=jxws
安徽卫视,http://8.146.199.204:886/2024/bestv.php?id=ahws
湖南卫视,http://8.146.199.204:886/2024/bestv.php?id=hunan
湖北卫视,http://8.146.199.204:886/2024/bestv.php?id=hubei
河南卫视,http://8.146.199.204:886/2024/bestv.php?id=hnws
河北卫视,http://8.146.199.204:886/2024/bestv.php?id=hbws
重庆卫视,http://8.146.199.204:886/2024/bestv.php?id=cqws
四川卫视,http://8.146.199.204:886/2024/bestv.php?id=scws
浙江卫视,http://8.146.199.204:886/2024/bestv.php?id=zjws
江苏卫视,http://8.146.199.204:886/2024/bestv.php?id=jsws
东方卫视,http://8.146.199.204:886/2024/bestv.php?id=dfws
东方卫视,http://8.146.199.204:886/2024/bestv.php?id=zqpd
山东卫视,http://8.146.199.204:886/2024/bestv.php?id=sdws
北京卫视,http://8.146.199.204:886/2024/bestv.php?id=bjws
天津卫视,http://8.146.199.204:886/2024/bestv.php?id=tjws
辽宁卫视,http://8.146.199.204:886/2024/bestv.php?id=lnws
吉林卫视,http://8.146.199.204:886/2024/bestv.php?id=jlws
黑龙江卫视,http://8.146.199.204:886/2024/bestv.php?id=hljws
陕西卫视,http://8.146.199.204:886/2024/bestv.php?id=sxws
山西卫视,http://8.146.199.204:886/2024/bestv.php?id=shanxi
